name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,3KkXRkHbMCARz0aVfEt68P,2018-12-14,81,158040,0.76,0.556,0.479,0.0,0.0703,0.913,-5.574,0.0466,89.911,2,4
What Do You Mean?,Purpose (Deluxe),Justin Bieber,4B0JvthVoAAuygILe3n4Bs,2015-11-13,77,205680,0.845,0.59,0.567,0.00142,0.0811,0.793,-8.118,0.0956,125.02,5,4
Paris,Memories...Do Not Open,The Chainsmokers,72jbDTw1piOOj770jWNeaG,2017-04-07,74,221506,0.653,0.0215,0.658,1.66e-06,0.0939,0.219,-6.428,0.0304,99.99,2,4
IDGAF,Dua Lipa (Deluxe),Dua Lipa,76cy1WJvNGJTj78UqeA5zr,2017-06-02,78,217946,0.836,0.0403,0.544,0.0,0.0824,0.51,-5.975,0.0943,97.028,7,4
"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,5AEtlRudpgdT5FtNiuly6Y,2017-09-08,0,174800,0.659,0.0393,0.717,0.0,0.0769,0.71,-4.202,0.0581,103.036,8,4
Monolog,Walk The Talk,Pamungkas,77vx7sGjdqwdnQL968t8oY,2018-07-15,69,207216,0.476,0.108,0.578,0.558,0.131,0.298,-9.252,0.0312,96.978,4,4
The A Team,+,Ed Sheeran,1VdZ0vKfR5jneCmWIUAMxK,2011-09-09,73,258373,0.642,0.669,0.289,0.0,0.18,0.407,-9.918,0.0367,84.996,9,4
Count on Me,Doo-Wops & Hooligans,Bruno Mars,7l1qvxWjxcKpB9PCtBuTbU,2010-10-05,73,197469,0.589,0.851,0.389,0.0,0.0772,0.501,-5.972,0.028,89.1,0,4
drivers license,drivers license,Olivia Rodrigo,7lPN2DXiMsVn7XUKtOW1CS,2021-01-08,28,242013,0.585,0.721,0.436,1.31e-05,0.105,0.132,-8.761,0.0601,143.874,10,4
comethru,"summer,",Jeremy Zucker,18uwL0vNUanqZH0ro2QcOP,2018-09-28,76,181613,0.795,0.607,0.178,0.0,0.623,0.608,-11.991,0.0574,93.982,0,4
all the kids are depressed,glisten,Jeremy Zucker,75ls0gurX68lUmMjE7QcsE,2018-05-04,72,169973,0.773,0.836,0.437,2.42e-05,0.544,0.707,-8.281,0.0963,103.861,9,4
Way Back Home,Take,SHAUN,3NxuezMdSLgt4OwHzBoUhL,2018-06-27,68,214136,0.745,0.405,0.739,0.000183,0.127,0.556,-4.591,0.0327,99.913,10,4
Selimut Hati,Kerajaan Cinta,Dewa 19,3mM7f12I9yOmLeqye0bII2,2007,0,279289,0.703,0.547,0.428,9.84e-05,0.129,0.545,-8.41,0.0286,74.996,9,4
Rumah Ke Rumah,Menari Dengan Bayangan,Hindia,2wAiFWjRupWmnDkQcu91MF,2019-11-29,72,277457,0.72,0.456,0.786,0.616,0.186,0.488,-7.396,0.0319,116.032,11,4
Mine,Mine,Petra Sihombing,6NkUP6IeLnH6Yaw2wcNHzO,2014-06-30,64,229120,0.472,0.467,0.572,0.0,0.0711,0.361,-5.651,0.0282,81.367,3,4
Memory Lane,Memory Lane,TheOvertunes,1Hyk2raTi3OOYuIOGUe8si,2019-03-15,19,287078,0.694,0.514,0.4,8.42e-05,0.326,0.402,-9.553,0.035,121.96,2,4
Modern Loneliness,~how i'm feeling~,Lauv,1eyek0KJEh2v5HQ9uQSybb,2020-03-06,16,252337,0.702,0.144,0.508,0.0,0.108,0.143,-7.105,0.035,82.009,8,4
i'm so tired...,~how i'm feeling~,Lauv,4vjpLMyL3ZO6aphdYr8XYw,2020-03-06,29,162586,0.576,0.178,0.736,0.0,0.238,0.484,-7.572,0.224,101.928,11,4
lowkey,lowkey,NIKI,5TTXEcfsYLh6fTarLaevTi,2019-04-24,77,171355,0.752,0.432,0.494,0.0,0.0869,0.227,-8.18,0.0559,117.901,0,4
Sad Forever,Sad Forever,Lauv,4a5zacCsHLtMC2mcxkqWwn,2019-05-31,0,203507,0.527,0.468,0.538,0.0,0.0825,0.389,-7.434,0.104,117.319,5,4
Kenangan Manis,Walk The Talk,Pamungkas,1tS1dRfxIV9FzqdYTbJgMn,2018-07-15,70,207937,0.604,0.0511,0.678,0.00169,0.0945,0.721,-7.331,0.0304,139.974,4,4
Monokrom,Monokrom,Tulus,4GfK1qOF3uBWidbPlTCQRL,2016-08-03,77,214567,0.534,0.573,0.462,5.59e-06,0.0974,0.519,-9.383,0.0326,88.046,6,4
Line Without a Hook,Montgomery Ricky,Ricky Montgomery,5NvOZCjZaGGGL597exlQWv,2016-04-08,78,249586,0.432,0.262,0.652,0.0,0.258,0.507,-4.969,0.0285,190.028,8,3
Gone,Gone,Blake Rose,6sHxpnCerm9M6A5zaFFNfs,2020-02-07,12,205462,0.317,0.039,0.545,0.0,0.116,0.14,-6.439,0.0469,139.014,11,5
Sepanjang Hari,Tentang Yang Tak Di Kata,Coffternoon,6trHOuesXNaUT2dOTDM6Kz,2015,30,246442,0.668,0.474,0.317,0.000651,0.313,0.536,-17.291,0.0599,95.076,4,4
Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,18UsAG7SfOQ5sxJEdjAMH0,2018-11-30,70,256688,0.572,0.835,0.155,0.000137,0.0906,0.0949,-14.405,0.0344,109.923,6,3
Grow As We Go,Sing To Me Instead,Ben Platt,6hYvw3LLTViP2mT4MpDNmT,2019-03-29,62,249426,0.458,0.882,0.137,0.0,0.15,0.437,-14.083,0.0355,80.824,8,4
say i'm sorry,say i'm sorry,Afgan,5Lb2QYTLzzP7mpr8UcNwg2,2021-02-05,38,175635,0.641,0.122,0.603,0.0,0.138,0.252,-6.346,0.047,117.953,4,4
Sweater Weather,I Love You.,The Neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,2013-04-19,89,240400,0.612,0.0495,0.807,0.0177,0.101,0.398,-2.81,0.0336,124.053,10,4
One More Light,One More Light,Linkin Park,3xXBsjrbG1xQIm1xv1cKOt,2017-05-19,71,255066,0.593,0.904,0.2,0.0,0.0897,0.17,-11.063,0.0311,83.966,8,4
Everglow,A Head Full of Dreams,Coldplay,5qfZRNjt2TkHEL12r3sDEU,2015-12-04,67,282693,0.534,0.456,0.445,0.0684,0.112,0.136,-9.155,0.0292,146.107,4,4
,happy,Skinnyfabs,2E532ozrMbRXwuZkpoegUP,2019-07-05,0,0,0.736,0.537,0.432,0.0397,0.11,0.706,-11.636,0.0269,87.999,3,4
