name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Cari Pacar Lagi,P.U.S.P.A.,ST12,1at0dTYo8Z3G1q3KnI3nxH,2008-06-28,58,214400,0.69,0.298,0.633,0.0,0.0837,0.92,-5.317,0.0415,118.031,4,4
Koq Gitu Sih,Indra Bekti,Indra Bekti,67uR06KKb9B7R2cHutqDzv,2014-03-29,31,242000,0.649,0.09,0.616,0.0,0.0929,0.416,-6.322,0.0731,167.856,7,4
Pencinta Wanita,Heart,Various Artists,0sMclGmddV8xeqBgI2k2yB,2006-04-22,55,253133,0.76,0.14,0.648,0.0,0.119,0.64,-6.856,0.0285,111.985,7,4
Racun Dunia,Mencoba Sukses Kembali,The Changcuters,2F8nJ7yF9GN5ONBHnmzy1h,2008-02-08,57,274466,0.497,0.00836,0.796,0.487,0.0851,0.722,-4.195,0.0518,153.881,2,4
Hey Gadis,Penantian Hidup,SAMSONS,6emutKYT46P70CyE4GSUlg,2007-01-01,39,237253,0.605,0.0556,0.817,2.3e-06,0.65,0.637,-5.743,0.126,161.971,6,4
Skutermatik,From Jogja With Love,SKJ'94,2CZkgW5dVbwaqiiiRYnLqe,2010-02-12,33,216213,0.739,0.00393,0.824,0.0014,0.29,0.923,-6.476,0.0287,139.017,2,4
Empat Mata,C.I.N.T.A,D'Bagindas,5xE3anVS4zpbl85gQzX9i2,2010-01-04,56,228813,0.797,0.587,0.802,0.0,0.111,0.889,-6.061,0.0395,119.993,1,4
Hijrah Ke London,Mencoba Sukses Kembali,The Changcuters,3821tdFqPQeJNYxryIqIev,2008-02-08,59,205706,0.509,0.0349,0.924,0.00306,0.343,0.647,-4.298,0.0312,138.015,9,4
SKJ,P.U.S.P.A.,ST12,4diHHRdO66LtVYkp9zV7f3,2008-06-28,46,236400,0.657,0.27,0.617,0.000293,0.262,0.44,-6.573,0.0297,108.119,9,4
Siapa Yang Pantas,Domino,Domino,1TUD49Nj0fQDWw3kkjztEk,2020-02-11,40,211333,0.625,0.00389,0.715,7.43e-05,0.106,0.763,-4.156,0.0307,115.058,11,4
Karena Wanita (Ingin Dimengerti),Romantic Rhapsody,Ada Band,2n3qmVFvKlYnCoPazri770,2006-03-27,60,276735,0.567,0.101,0.78,1.53e-06,0.0256,0.788,-6.401,0.037,87.956,9,4
Ku Yakin Cinta,Good Morning,D'Cinnamons,41c2k5itZnYZ2irOFkIEDt,2007,41,177493,0.798,0.194,0.499,8.85e-05,0.264,0.681,-8.493,0.0286,115.028,6,4
Topeng,Taman Langit,Peterpan,5DhxXAyhcOA0jnR103HNTP,2003-01-01,49,265520,0.599,0.00349,0.675,5.09e-05,0.108,0.747,-7.08,0.0312,132.984,0,4
